City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
548,oktyabrskoye,64,RU,1525146001,77,56.73,85.44,50.58,5.61
549,presidencia roque saenz pena,56,AR,1525146002,89,-26.79,-60.44,74.34,2.15
550,koutiala,12,ML,1525146003,52,12.39,-5.46,83.7,9.64
551,srandakan,0,ID,1525146003,70,-7.94,110.25,86.04,4.38
552,namatanai,36,PG,1525146004,100,-3.66,152.44,83.43,10.2
553,roma,0,IT,1525143300,81,41.89,12.48,55.4,3.36
554,riyadh,0,SA,1525143600,37,24.63,46.72,71.6,3.36
555,maceio,40,BR,1525143600,100,-9.67,-35.74,71.6,3.36
556,esmeraldas,0,BR,1525143600,72,-19.76,-44.31,62.6,2.24
557,varhaug,75,NO,1525143000,70,58.61,5.65,46.4,4.7
558,macae,0,BR,1525146008,86,-22.37,-41.79,60.3,2.93
559,nicoya,75,CR,1525143600,54,10.15,-85.45,84.2,14.99
560,plymouth,8,GB,1525146009,100,50.37,-4.14,42.75,11.21
561,mabaruma,92,GY,1525146010,84,8.2,-59.78,79.47,6.96
562,rawson,88,AR,1525145770,62,-43.3,-65.11,44.1,11.1
563,qazax,0,AZ,1525146010,82,41.09,45.37,34.92,2.48
564,walvis bay,0,NA,1525143600,82,-22.95,14.51,55.4,1.92
565,key west,1,US,1525144500,75,47.93,-96.78,42.8,20.8
566,rock sound,92,BS,1525146012,100,24.9,-76.2,76.14,20.04
567,birao,0,CF,1525146013,34,10.3,22.78,70.02,6.73
568,cassilandia,0,BR,1525146013,79,-19.11,-51.73,67.68,3.04
569,katherine,40,AU,1525143600,31,-14.47,132.26,91.4,10.29
570,santo angelo,48,BR,1525146015,95,-28.3,-54.26,68.76,11.21
571,tocache,24,PE,1525146015,89,-8.19,-76.51,58.5,1.7
572,martapura,68,ID,1525146016,81,-3.41,114.85,86.85,4.61
